Nome|Difficolta|Costo|Diete|Ingredienti
Lasagne alla Bolognese|Media|Medio||Semola di grano duro rimacinata; Farina 00; Spinaci; Uova; Tuorli; Carne bovina; Pancetta; Carote; Sedano; Cipolle dorate; Vino rosso; Passata di pomodoro; Brodo vegetale; Olio extravergine d'oliva; Sale fino; Pepe nero; Burro; Farina 00; Latte intero; Sale fino; Noce moscata; Burro; Parmigiano Reggiano DOP; 

Risotto allo Zafferano|Media|Medio|Vegetariano; |Zafferano in pistilli; Riso Carnaroli; Burro; Cipolle; Grana Padano DOP; Vino bianco; Acqua; Brodo vegetale; Sale fino; Zafferano in pistilli; 

Pasta alla gricia|Facile|Medio||Rigatoni; Guanciale; Pecorino romano; Sale fino; Pepe nero; 

Riso alla cantonese|Facile|Basso||Riso Ribe; Pisellini; Prosciutto cotto; Uova; Acqua; Vino di riso; Olio di semi di arachide; Erba cipollina; Sale fino; 

Gnocchi alla sorrentina|Facile|Basso|Vegetariano; |Patate rosse; Farina 00; Uova; Sale fino; Semola; Passata di pomodoro; Basilico; Aglio; Olio extravergine d'oliva; Sale fino; Mozzarella; Parmigiano Reggiano DOP; 

Pappardelle agli asparagi e gamberi|Facile|Medio||Pappardelle all'uovo; Asparagi; Gamberi; Burro; Cipolle dorate; Vino bianco; Panna fresca liquida; Erba cipollina; Sale fino; Pepe nero; 

Pasta e zucchine|Molto facile|Molto basso|Senza lattosio; Vegetariano; Light; |Farfalle; Zucchine; Basilico; Sale fino; Olio extravergine d'oliva; Pepe nero; Aglio; 

Risotto alla salsiccia|Facile|Medio||Riso Carnaroli; Salsiccia; Brodo di carne; Zafferano; Vino bianco; Scalogno; Pepe nero; Olio extravergine d'oliva; Burro; Parmigiano Reggiano DOP; 

Spatzle di spinaci con speck e panna|Facile|Basso||Spinaci; Farina 00; Uova; Acqua; Noce moscata; Sale fino; Speck; Panna fresca liquida; Burro; Pepe nero; Sale fino; Erba cipollina; Olio extravergine d'oliva; 

Pizzoccheri alla valtellinese|Media|Basso|Vegetariano; |Farina di grano saraceno; Farina 0; Acqua; Burro; Formaggio latteria; Grana Padano DOP; Patate; Aglio; Verza; Sale marino integrale; 

Pasta al forno|Facile|Medio||Rigatoni; Uova; Parmigiano Reggiano DOP; Scamorza (provola); Carne di suino; Salsiccia; Parmigiano Reggiano DOP; Pane; Prezzemolo; Uova; Sale fino; Pepe nero; Noce moscata; Passata di pomodoro; Cipolle bianche; Aglio; Olio extravergine d'oliva; Sale fino; Basilico; Pepe nero; Latte intero; Farina 00; Burro; Sale fino; Noce moscata; 

Pasta agli asparagi|Facile|Basso|Vegetariano; Senza lattosio; Light; |Penne Rigate; Asparagi; Pepe nero; Sale fino; Parmigiano Reggiano DOP; Scalogno; Timo; 

Spaghetti allo scoglio|Media|Elevato|Senza lattosio; |Spaghetti; Cozze; Vongole; Calamari; Scampi; Pomodorini ciliegino; Olio extravergine d'oliva; Aglio; Prezzemolo; Vino bianco; Sale fino; Pepe nero; 

Zuppa di ceci|Facile|Basso|Senza lattosio; Vegetariano; |Ceci secchi; Carote; Sedano; Cipolle bianche; Porri; Olio extravergine d'oliva; Rosmarino; Sale fino; Pepe nero; Alloro; Brodo vegetale; Passata di pomodoro; 

Paccheri con carciofi alla carbonara|Facile|Medio||Paccheri; Carciofi; Tuorli; Pancetta affumicata; Parmigiano Reggiano DOP; Pecorino; Scalogno; Vino bianco; Olio extravergine d'oliva; Pepe nero; Sale fino; 

Paella alla valenciana|Media|Medio|Senza lattosio; |Riso vialone nano; Brodo vegetale; Coniglio; Fusi di pollo; Pomodori ramati; Peperoni verdi; Fagiolini; Zafferano in pistilli; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Ravioli cinesi al vapore|Difficile|Basso||Farina 00; Acqua; Sale fino; Maiale; Cavolo cappuccio; Cipollotto fresco; Acqua; Vino di riso; Salsa di soia; Sale fino; Pepe bianco; Cavolo cappuccio; 

Orecchiette con le cime di rapa|Facile|Basso|Senza lattosio; |Cime di rapa; Pangrattato; Sale fino; Aglio; Acciughe sott'olio; Olio extravergine d'oliva; Acqua; Semola di grano duro rimacinata; Sale fino; 

Couscous alle verdure|Facile|Basso|Senza lattosio; Vegetariano; Light; |Cous cous; Acqua; Olio extravergine d'oliva; Curcuma in polvere; Sale fino; Carote; Melanzane; Pomodorini ciliegino; Sale fino; Olio extravergine d'oliva; Peperoncino fresco; Cipollotto fresco; Aglio; Zucchine; Taccole; Zenzero fresco; Menta; 

Risotto con zucchine|Molto facile|Basso|Vegetariano; |Riso Carnaroli; Zucchine; Brodo vegetale; Cipolle bianche; Vino bianco; Burro; Parmigiano Reggiano DOP; Sale fino; Pepe nero; Olio extravergine d'oliva; Menta; 

Cannelloni|Facile|Basso||Farina 00; Uova; Latte intero; Burro; Farina 00; Noce moscata; Sale fino; Salsiccia; Carne bovina; Parmigiano Reggiano DOP; Olio extravergine d'oliva; Cipolle; Sedano; Carote; Vino rosso; Sale fino; Pepe nero; Passata di pomodoro; Parmigiano Reggiano DOP; 

Crema di zucca|Facile|Basso|Senza lattosio; Vegetariano; |Zucca; Patate; Brodo vegetale; Cipolle bianche; Pepe nero; Sale; Olio extravergine d'oliva; Cannella in polvere; Noce moscata; Olio extravergine d'oliva; Pane casereccio; 

Riso Venere con gamberetti e zucchine|Facile|Medio|Senza lattosio; Light; |Riso nero Venere; Olio extravergine d'oliva; Gamberi; Zucchine; Limoni; Sale fino; Pepe nero; Aglio; Tabascoa; 

Spaghetti alla puttanesca|Facile|Basso|Senza lattosio; |Spaghetti; Pomodori pelati; Acciughe sott'olio; Capperi sotto sale; Prezzemolo; Olive di Gaeta; Aglio; Peperoncino secco; Olio extravergine d'oliva; Sale fino; 

Quinoa con verdure|Molto facile|Basso|Senza lattosio; Vegetariano; Light; |Quinoa; Funghi champignon; Peperoni rossi; Peperoni gialli; Zucchine; Cipolle rosse; Acqua; Olio extravergine d'oliva; Menta; Sale fino; Pepe nero; 

Pasta con le melanzane|Facile|Basso|Senza lattosio; Vegetariano; Light; |Sedanini Rigati; Melanzane; Pomodorini ciliegino; Basilico; Cipollotto fresco; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Paella de marisco|Media|Elevato|Senza glutine; Senza lattosio; |Riso Bomba; Cozze; Calamari; Scampi; Gamberi; Cipolle; Aglio; Fumetto di crostacei; Passata di pomodoro; Zafferano; Paprika dolce; Peperoncino dolce; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Crepe alla crema di asparagi|Facile|Basso|Vegetariano; |Latte intero; Farina 00; Uova; Sale fino; Burro; Latte intero; Farina 00; Burro; Noce moscata; Sale fino; Asparagi; Groviera; Burro; Sale fino; Pepe nero; Parmigiano Reggiano DOP; Burro; Pepe nero; 

Spaghetti con crema di burrata e melanzane|Facile|Medio|Senza glutine; Vegetariano; |Spaghetti Senza Glutine; Burrata; Basilico; Olio extravergine d'oliva; Melanzane; Pinoli; Sale fino; Pepe nero; Olio di semi di arachide; Basilico; 

Pasta e lenticchie|Facile|Molto basso|Senza lattosio; |Ditaloni Rigati; Lenticchie; Pancetta affumicata; Passata di pomodoro; Carote; Cipolle; Sedano; Brodo vegetale; Aglio fresco; Rosmarino; Timo; Parmigiano Reggiano DOP; Peperoncino; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Trofie con crema di zucchine e pancetta|Facile|Basso|Senza lattosio; |Trofie; Zucchine; Pancetta affumicata; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Insalata di riso|Facile|Basso||Riso Arborio; Tonno sott'olio; Pomodori ramati; Caciocavallo; Prosciutto cotto; Pisellini; Peperoni rossi; Peperoni gialli; Olive nere; Cetriolini sottaceto; Erba cipollina; Sale fino; 

Paccheri ripieni con salsiccia e funghi|Media|Medio||Paccheri; Funghi champignon; Salsiccia; Ricotta vaccina; Parmigiano Reggiano DOP; Porri; Aglio; Vino bianco; Olio extravergine d'oliva; Triplo concentrato di pomodoro; Timo; Sale fino; Pepe nero; Latte intero; Burro; Farina 00; Noce moscata; Sale fino; Parmigiano Reggiano DOP; 

Risotto agli asparagi e raspadura|Facile|Basso|Vegetariano; |Riso Carnaroli; Asparagi; Olio extravergine d'oliva; Scalogno; Sale fino; Brodo vegetale; Pepe nero; Burro; Raspadura; Raspadura; 

Risotto ai funghi porcini|Facile|Elevato|Vegetariano; |Riso Carnaroli; Funghi porcini; Brodo vegetale; Cipolle dorate; Aglio; Burro; Olio extravergine d'oliva; Sale fino; Pepe nero; Parmigiano Reggiano DOP; Burro; Prezzemolo; 

Ravioli ricotta e spinaci|Media||Vegetariano; |Farina 00; Uova; Semola; Spinaci; Ricotta vaccina; Parmigiano Reggiano DOP; Noce moscata; Sale fino; Pepe nero; 

Pasta con asparagi e pancetta|Facile|Basso|Senza lattosio; |Penne Rigate; Asparagi; Pancetta; Scalogno; Sale fino; Pepe nero; Olio extravergine d'oliva; Olio extravergine d'oliva; Acqua; 

Zuppa di cipolle gratinata|Facile|Basso||Cipolle dorate; Brodo di manzo; Burro; Olio extravergine d'oliva; Farina 00; Zucchero; Pepe nero; Sale fino; Baguette; Emmentaler; 

Risotto ai carciofi|Facile|Basso|Vegetariano; |Riso Carnaroli; Brodo vegetale; Grana Padano DOP; Olio extravergine d'oliva; Scalogno; Vino bianco; Timo; Burro; Sale fino; Pepe nero; Carciofi; Olio extravergine d'oliva; Aglio; Scalogno; Timo; Sale fino; Pepe nero; 

Calamarata|Facile|Elevato|Senza lattosio; |Calamarata; Calamari; Aglio; Peperoncino fresco; Prezzemolo; Pomodorini ciliegino; Vino bianco; Triplo concentrato di pomodoro; Sale; Pepe nero; Olio extravergine d'oliva; 

Pasta pasticciata|Facile|Basso||Rigatoni; Passata di pomodoro; Provola; Parmigiano Reggiano DOP; Mortadella; Salame; Mozzarella; Uova; Cipolle; Aglio; Basilico; Timo; Olio extravergine d'oliva; Sale fino; 

Nidi di rondine|Difficile|Medio||Farina 00; Uova; Latte; Farina 00; Burro; Sale; Noce moscata; Funghi champignon; Prosciutto cotto; Emmentaler; Parmigiano Reggiano DOP; 

Risotto ai frutti di mare|Media|Elevato|Light; |Riso Carnaroli; Cozze; Vongole; Calamari; Gamberi; Prezzemolo; Aglio; Vino bianco; Brodo vegetale; Olio extravergine d'oliva; Burro; Cipollotto fresco; Sedano; Carote; Peperoncino; Sale fino; Pepe nero; 

Risotto al pomodoro|Facile|Basso|Vegetariano; |Riso Carnaroli; Pomodorini in scatola; Passata di pomodoro; Brodo vegetale; Cipolle dorate; Grana Padano DOP; Olio extravergine d'oliva; Burro; Basilico; Sale fino; 

Penne al baffo|Facile|Basso||Mezze Penne Rigate; Prosciutto cotto; Panna fresca liquida; Passata di pomodoro; Prezzemolo; Sale fino; Olio extravergine d'oliva; Pepe nero; 

Gnocchi alla romana|Media|Basso|Vegetariano; |Semolino; Latte intero; Tuorli; Parmigiano Reggiano DOP; Sale fino; Noce moscata; Burro; Burro; Pecorino romano; 

Spaghetti aglio olio e peperoncino|Molto facile|Molto basso|Senza lattosio; Vegetariano; |Spaghetti; Aglio; Peperoncino fresco; Olio extravergine d'oliva; Sale fino; 

Pasta e ceci|Molto facile|Molto basso|Senza lattosio; |Pipe Rigate; Ceci precotti; Cipolle dorate; Sedano; Aglio; Sale fino; Pepe nero; Pancetta affumicata; Olio extravergine d'oliva; Passata di pomodoro; Rosmarino; Carote; Vino bianco; Concentrato di pomodoro; 

Conchiglioni ripieni|Media|Medio||Conchiglioni; Passata di pomodoro; Parmigiano Reggiano DOP; Olio extravergine d'oliva; Cipolle dorate; Sale fino; Pepe nero; Carne di suino; Carne bovina; Ricotta vaccina; Mozzarella; Parmigiano Reggiano DOP; Vino rosso; Sale fino; Pepe nero; Uova; Aglio; 

Pasta alla vecchia bettola|Facile|Basso|Vegetariano; |Penne Rigate; Pomodorini datterini; Panna fresca liquida; Vodka; Aglio; Cipolle dorate; Origano; Peperoncino fresco; Olio extravergine d'oliva; Prezzemolo; Pepe nero; Sale fino; Parmigiano Reggiano DOP; 

Pasta e patate alla napoletana|Facile|Basso|Senza lattosio; |Pasta Mista; Patate; Sedano; Carote; Cipolle bianche; Lardo; Concentrato di pomodoro; Rosmarino; Parmigiano Reggiano DOP; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Spaghetti al tonno|Molto facile|Molto basso|Senza lattosio; Light; |Spaghetti; Tonno sott'olio; Pomodori pelati; Olio extravergine d'oliva; Sale fino; Pepe nero; Basilico; Cipolle dorate; 

Tagliatelle ai funghi porcini|Media|Medio|Vegetariano; |Farina 00; Uova; Semola; Funghi porcini; Burro; Olio extravergine d'oliva; Sale fino; Aglio; Prezzemolo; Pepe nero; 

Vellutata di asparagi e patate con crostini|Facile|Medio|Vegetariano; |Asparagi; Patate; Brodo vegetale; Panna fresca liquida; Vino bianco; Burro; Olio extravergine d'oliva; Erba cipollina; Scalogno; Sale fino; Pepe nero; Pancarra; 

Passatelli in brodo|Media|Medio|Senza lattosio; |Uova; Pangrattato; Parmigiano Reggiano DOP; Scorza di limone; Noce moscata; Sale fino; Brodo di carne; Farina 00; 

Risotto radicchio e pancetta|Molto facile|Basso|Senza lattosio; |Riso Carnaroli; Radicchio; Pancetta affumicata; Brodo vegetale; Vino rosso; Olio extravergine d'oliva; Scalogno; Sale fino; Pepe nero; Timo; 

Pasta e fagioli|Molto facile|Basso|Senza lattosio; |Ditaloni Rigati; Fagioli borlotti secchi; Passata di pomodoro; Lardo; Prosciutto crudo; Cipolle; Sedano; Carote; Aglio; Alloro; Rosmarino; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Risotto alla zucca|Facile|Basso|Vegetariano; |Riso Carnaroli; Zucca; Cipolle ramate; Brodo vegetale; Parmigiano Reggiano DOP; Vino bianco; Burro; Pepe nero; Sale fino; Olio extravergine d'oliva; 

Linguine gamberetti, zucchine e zafferano|Molto facile|Elevato|Senza lattosio; |Linguine; Zucchine; Gamberi; Zafferano; Scalogno; Olio extravergine d'oliva; Pepe nero; Sale fino; Maggiorana; 

Risotto asparagi e speck|Facile|Basso||Asparagi; Riso Carnaroli; Brodo vegetale; Cipolle dorate; Speck; Olio extravergine d'oliva; Burro; Parmigiano Reggiano DOP; Sale fino; Pepe nero; 

Orecchiette broccoli e salsiccia|Molto facile|Basso||Orecchiette; Broccoli; Salsiccia; Vino bianco; Aglio; Timo; Rosmarino; Olio extravergine d'oliva; Pepe nero; Sale fino; 

Gnocchi di ricotta|Media|Basso|Vegetariano; |Ricotta vaccina; Uova; Farina 00; Parmigiano Reggiano DOP; Sale fino; Semola; Passata di pomodoro; Olio extravergine d'oliva; Aglio; Sale fino; Basilico; 

Pasta con la zucca|Molto facile|Molto basso||Farfalle; Zucca; Pancetta affumicata; Rosmarino; Brodo vegetale; Olio extravergine d'oliva; Ricotta vaccina; Scalogno; Sale fino; Pepe nero; 

Tagliatelle al raga bianco|Facile|Basso||Tagliatelle all'uovo; Manzo; Salsiccia; Pancetta; Sedano; Carote; Cipolle dorate; Aglio; Vino bianco; Olio extravergine d'oliva; Rosmarino; Salvia; Alloro; Pepe nero; Sale fino; Acqua; 

Vellutata di piselli|Facile|Basso|Vegetariano; |Pisellini; Cipolle bianche; Panna fresca liquida; Grana Padano DOP; Olio extravergine d'oliva; Sale fino; Pepe nero; Brodo vegetale; 

Risotto alla crema di scampi|Media|Elevato|Senza glutine; |Riso Carnaroli; Scampi; Olio extravergine d'oliva; Scalogno; Aglio; Sale fino; Pepe nero; Panna fresca liquida; Limoni; Timo; Scalogno; Brandy; Olio extravergine d'oliva; Prezzemolo; Acqua; Scampi; Aglio; Pepe in grani; Sale grosso; Concentrato di pomodoro; 

Pennette con speck e zucchine|Molto facile|Basso|Senza lattosio; |Pennette Rigate Integrali; Zucchine; Speck; Scalogno; Timo; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Canederli alla tirolese (Knadel)|Facile|Basso||Pane raffermo; Speck; Cipolle bianche; Uova; Latte intero; Burro; Pepe nero; Prezzemolo; Erba cipollina; 

Pasta alla cenere|Molto facile|Molto basso|Vegetariano; |Rigatoni; Gorgonzola; Olive nere; Panna fresca liquida; Sale fino; Pepe nero; 

Pasta alla Norma|Facile|Medio|Vegetariano; |Sedani Rigati; Melanzane; Ricotta di pecora; Sale fino; Pomodori costoluti; Aglio; Sale fino; Basilico; Olio extravergine d'oliva; 

Genovese|Facile|Basso|Senza lattosio; |Ziti; Manzo; Cipolle dorate; Sedano; Carote; Prezzemolo; Alloro; Vino bianco; Olio extravergine d'oliva; Sale fino; 

Risotto al limone e gamberetti|Facile|Medio||Riso Carnaroli; Succo di limone; Scorza di limone; Gamberetti; Brodo vegetale; Burro; Vino bianco; Sale fino; Pepe nero; Erba cipollina; 

Risotto ai funghi|Facile|Basso|Senza glutine; Vegetariano; |Riso Carnaroli; Funghi chiodini; Funghi champignon; Cipolle; Burro; Parmigiano Reggiano DOP; Sale fino; Prezzemolo; Vino bianco; Acqua; Pepe bianco; Olio extravergine d'oliva; 

Zuppa di legumi e cereali|Facile|Basso|Vegetariano; Senza lattosio; Light; |Lenticchie secche; Lenticchie rosse decorticate; Piselli secchi; Fagioli borlotti secchi; Fagioli cannellini secchi; Farro; Orzo; Carote; Sedano; Cipolle dorate; Patate; Olio extravergine d'oliva; Pomodori pelati; Alloro; Salvia; Rosmarino; Acqua; Sale fino; Pepe nero; 

Spaghetti al pomodoro|Molto facile|Molto basso|Senza lattosio; Vegetariano; Light; |Spaghetti; Pomodori pelati; Olio extravergine d'oliva; Aglio; Basilico; Sale fino; 

Paccheri al sugo di calamari|Facile|Medio|Senza lattosio; |Calamari; Paccheri; Pomodorini ciliegino; Passata di pomodoro; Olio extravergine d'oliva; Vino bianco; Peperoncino fresco; Aglio; Prezzemolo; Sale fino; 

Tortellini|Media|Medio||Farina 0; Uova; Lonza di maiale; Prosciutto crudo; Mortadella; Parmigiano Reggiano DOP; Uova; Sale fino; Noce moscata; 

Pasta alla sorrentina|Facile|Basso|Vegetariano; |Fusilli; Passata di pomodoro; Mozzarella; Olio extravergine d'oliva; Aglio; Basilico; Sale fino; Parmigiano Reggiano DOP; 

Vellutata di zucca|Facile|Molto basso|Vegetariano; |Brodo vegetale; Sale fino; Pepe nero; Noce moscata; Porri; Zucca; Panna fresca liquida; Olio extravergine d'oliva; 

Vellutata di zucchine|Facile|Basso|Vegetariano; |Zucchine; Porri; Olio extravergine d'oliva; Brodo vegetale; Panna fresca liquida; Sale fino; Pepe nero; 

Pappardelle con speck e funghi porcini|Media|Medio||Pappardelle all'uovo; Funghi porcini; Speck; Panna fresca liquida; Prezzemolo; Aglio; Pepe nero; Olio extravergine d'oliva; Sale fino; 

Pasta al forno bianca|Facile|Basso||Fusilli; Zucchine; Prosciutto cotto; Pisellini; Parmigiano Reggiano DOP; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; Latte intero; Ricotta vaccina; Farina 00; Burro; Noce moscata; Sale fino; 

Pasta con crema di peperoni|Facile|Basso||Penne Rigate Bio; Peperoni rossi; Pomodori ramati; Aglio; Basilico; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Vellutata di porri con crostini saporiti|Facile|Basso|Senza lattosio; Vegetariano; |Porri; Patate; Brodo vegetale; Olio extravergine d'oliva; Pepe nero; Timo; Pane; Rosmarino; Paprika dolce; Finocchietto selvatico; Origano; Timo; 

Cannelloni ricotta e spinaci|Media|Basso|Vegetariano; |Farina 00; Uova; Spinaci; Ricotta vaccina; Uova; Aglio; Olio extravergine d'oliva; Grana Padano DOP; Noce moscata; Pepe nero; Sale fino; Latte intero; Farina 00; Burro; Sale fino; Noce moscata; Pepe nero; Grana Padano DOP; 

Penne all'Arrabbiata|Facile|Molto basso|Vegetariano; Senza lattosio; |Penne Rigate; Pomodori pelati; Aglio; Peperoncino secco; Prezzemolo; Olio extravergine d'oliva; Sale fino; 

Pasta ai 4 formaggi|Facile|Medio|Vegetariano; |Pennette Rigate; Taleggio; Parmigiano Reggiano DOP; Gorgonzola; Groviera; Latte intero; Sale fino; Pepe bianco; Pepe nero; 
